521,241,12,16,1,6,0,1
537,265,7,10,1,6,0,0
526,355,18,42,1,6,0,0
809,659,121,40,0,11,0,0
402,796,41,89,1,6,0,0
364,999,47,51,1,6,1,0
450,692,20,42,1,5,0,0
461,627,25,35,1,4,0,0
477,573,18,26,1,4,0,0
415,529,17,19,1,4,0,0
376,611,21,30,1,4,0,0
374,579,26,29,1,4,0,0
287,755,28,52,1,5,0,0
284,806,22,22,1,10,0,0
413,753,7,25,1,10,0,1
449,614,7,20,1,10,0,1
432,602,12,14,1,10,0,1
482,536,6,14,1,10,0,1
481,534,8,10,1,2,0,0
449,618,8,10,1,2,0,1
434,600,8,11,1,2,0,1
413,754,9,15,1,2,0,1
691,698,11,27,1,1,0,0
878,342,40,23,0,11,0,0
618,364,4,8,1,1,0,0
614,364,4,12,1,1,0,0
401,521,16,23,1,4,0,0
499,458,6,9,1,1,0,0
534,456,3,11,1,1,0,0
498,442,3,10,1,1,0,0
443,456,35,16,1,6,0,1
