255,447,132,318,1,6,1,0
249,472,40,56,1,7,0,2
254,474,28,41,1,2,0,1
230,425,32,49,1,7,0,2
238,431,21,32,1,2,0,2
292,415,60,61,1,4,0,1
367,372,52,47,1,4,0,0
345,327,38,35,1,4,0,0
288,390,32,37,1,7,0,1
296,394,19,27,1,2,0,1
272,305,57,80,1,9,0,0
318,279,35,30,1,4,0,0
329,251,29,26,1,4,0,0
247,205,54,104,1,6,0,0
312,195,31,21,1,4,0,1
311,160,18,16,1,4,0,0
127,232,70,98,1,6,0,1
211,170,23,15,1,4,0,1
235,144,25,23,1,6,0,1
116,130,69,35,1,6,0,2
678,416,92,59,1,5,0,1
968,339,59,36,1,4,0,0
499,273,15,25,1,1,0,0
485,235,24,22,1,4,0,0
463,216,44,21,1,4,0,1
447,241,37,17,1,4,0,2
450,254,32,27,1,5,0,2
