572,854,29,27,1,4,0,0
763,867,34,26,1,4,0,0
507,772,24,20,1,4,0,0
619,610,13,22,1,5,0,0
1131,645,18,16,1,4,0,0
1148,627,21,20,1,5,0,0
1082,681,28,22,1,6,0,0
891,784,28,23,1,4,0,0
60,376,22,21,1,6,0,0
111,411,14,12,1,4,0,0
139,432,17,13,1,4,0,0
54,337,12,11,1,4,0,0
173,293,9,10,1,4,0,0
23,279,11,9,1,4,0,0
37,303,9,11,1,5,0,0
184,283,15,15,1,6,0,1
167,285,9,10,1,5,0,1
390,986,34,64,0,11,1,0
673,1014,12,11,1,10,1,0
682,1012,9,10,1,10,1,0
817,849,26,29,1,4,0,2
703,328,21,13,1,6,0,0
684,275,15,7,1,4,0,1
594,314,15,18,1,6,0,1
13,252,11,9,1,5,0,0
9,169,7,8,1,5,0,0
25,225,14,21,1,9,0,0
935,456,20,8,1,4,0,0
1283,554,20,18,1,6,0,0
